Concurso;Data Sorteio;1 Dezena;2 Dezena;3 Dezena;4 Dezena;5 Dezena;Arrecadacao Total;Ganhadores Quina;Cidade;Rateio Quina;Ganhadores Quadra;Rateio Quadra;Ganhadores Terno;Rateio Terno;Ganhadores Duque;Rateio Duque;Acumulado;Valor Acumulado;Estimativa Premio;Valor Acumulado Sorteio Especial São João
502;14/01/1999;011;035;045;050;064;0,00;0;;0,00;182;1.482,92;9552;37,60;0;0,00;SIM;269.890,84;269.890,84;0,00
503;16/01/1999;002;018;023;054;073;0,00;3;;220.976,61;492;798,86;19455;26,89;0;0,00;NAO;0,00;0,00;0,00
504;19/01/1999;003;007;026;066;079;0,00;0;;0,00;261;964,26;11823;28,33;0;0,00;SIM;251.671,35;251.671,35;0,00
505;21/01/1999;009;030;052;059;075;0,00;4;;138.358,54;246;1.226,68;10882;36,90;0;0,00;NAO;0,00;0,00;0,00
506;23/01/1999;016;029;062;064;073;0,00;2;;169.024,66;213;1.587,09;10434;43,12;0;0,00;NAO;0,00;0,00;0,00
507;26/01/1999;001;026;064;068;073;0,00;1;;228.560,01;164;1.393,66;7627;39,89;0;0,00;NAO;0,00;0,00;0,00
508;28/01/1999;007;022;028;041;053;0,00;5;;51.316,09;262;979,32;11784;29,03;0;0,00;NAO;0,00;0,00;0,00
509;30/01/1999;005;014;015;025;073;0,00;3;;111.163,39;545;611,91;19222;23,13;0;0,00;NAO;0,00;0,00;0,00
510;02/02/1999;004;005;018;058;072;0,00;2;;126.777,31;269;942,58;12480;27,09;0;0,00;NAO;0,00;0,00;0,00
511;04/02/1999;007;015;019;034;052;0,00;5;;54.146,08;454;596,32;18870;19,13;0;0,00;NAO;0,00;0,00;0,00
512;06/02/1999;006;040;056;066;071;0,00;1;;355.926,91;225;1.581,90;9985;47,53;0;0,00;NAO;0,00;0,00;0,00
513;09/02/1999;015;027;031;056;063;0,00;6;;43.878,65;320;822,73;12160;28,87;0;0,00;NAO;0,00;0,00;0,00
514;11/02/1999;001;009;027;069;078;0,00;2;;138.539,79;265;1.045,59;13058;28,29;0;0,00;NAO;0,00;0,00;0,00
515;13/02/1999;006;021;033;034;075;0,00;0;;0,00;250;1.306,47;12640;34,45;0;0,00;SIM;326.617,39;326.617,39;0,00
516;18/02/1999;005;047;054;063;072;0,00;6;;107.135,42;345;916,51;14012;30,09;0;0,00;NAO;0,00;0,00;0,00
517;20/02/1999;003;014;022;046;060;0,00;2;;169.201,11;353;958,65;15752;28,65;0;0,00;NAO;0,00;0,00;0,00
518;23/02/1999;006;022;028;045;071;0,00;1;;249.723,84;316;790,27;11668;28,54;0;0,00;NAO;0,00;0,00;0,00
519;25/02/1999;003;036;040;052;076;0,00;3;;85.337,89;211;1.213,34;9503;35,92;0;0,00;NAO;0,00;0,00;0,00
520;27/02/1999;004;012;028;030;043;0,00;8;;42.549,92;660;515,76;23530;19,29;0;0,00;NAO;0,00;0,00;0,00
521;02/03/1999;026;052;072;074;079;0,00;1;;254.077,11;187;1.358,70;7721;43,88;0;0,00;NAO;0,00;0,00;0,00
522;04/03/1999;001;002;003;027;065;0,00;5;;53.958,57;572;471,66;19866;18,11;0;0,00;NAO;0,00;0,00;0,00
523;06/03/1999;009;052;059;062;080;0,00;2;;180.162,13;205;1.757,68;11683;41,12;0;0,00;NAO;0,00;0,00;0,00
524;09/03/1999;003;005;016;032;038;0,00;2;;131.510,22;554;474,77;19654;17,85;0;0,00;NAO;0,00;0,00;0,00
525;11/03/1999;016;038;058;064;072;0,00;3;;91.754,37;275;1.000,96;10024;36,61;0;0,00;NAO;0,00;0,00;0,00
526;13/03/1999;007;008;036;057;067;0,00;2;;176.217,96;310;1.136,89;16607;28,30;0;0,00;NAO;0,00;0,00;0,00
527;16/03/1999;002;025;044;045;065;0,00;3;;87.067,41;309;845,32;13048;26,70;0;0,00;NAO;0,00;0,00;0,00
528;18/03/1999;001;009;050;061;079;0,00;2;;131.584,97;205;1.283,76;9850;35,63;0;0,00;NAO;0,00;0,00;0,00
529;20/03/1999;007;010;026;035;036;0,00;4;;84.926,12;446;761,67;18120;24,99;0;0,00;NAO;0,00;0,00;0,00
530;23/03/1999;007;024;026;028;072;0,00;2;;123.012,73;307;801,39;12957;25,32;0;0,00;NAO;0,00;0,00;0,00
531;25/03/1999;011;035;056;063;077;0,00;3;;84.178,34;367;688,10;12324;27,33;0;0,00;NAO;0,00;0,00;0,00
532;27/03/1999;022;025;030;057;063;0,00;2;;163.614,02;334;979,72;13138;33,21;0;0,00;NAO;0,00;0,00;0,00
533;30/03/1999;005;013;039;047;063;0,00;7;;33.878,25;413;574,25;14588;21,68;0;0,00;NAO;0,00;0,00;0,00
534;03/04/1999;007;043;053;059;072;0,00;3;;109.685,51;267;1.232,42;12067;36,36;0;0,00;NAO;0,00;0,00;0,00
535;06/04/1999;003;023;051;073;074;0,00;0;;0,00;221;1.129,53;10548;31,55;0;0,00;SIM;249.626,94;249.626,94;0,00
536;08/04/1999;003;009;048;059;079;0,00;0;;0,00;382;869,08;16274;27,20;0;0,00;SIM;581.615,99;581.615,99;0,00
537;10/04/1999;004;022;049;053;064;0,00;8;;128.695,84;497;901,31;18791;31,78;0;0,00;NAO;0,00;0,00;0,00
538;13/04/1999;025;029;034;059;066;0,00;1;;260.163,40;233;1.116,58;9821;35,32;0;0,00;NAO;0,00;0,00;0,00
539;15/04/1999;019;042;063;075;078;0,00;3;;89.885,93;299;901,86;11176;32,17;0;0,00;NAO;0,00;0,00;0,00
540;17/04/1999;004;008;015;020;032;0,00;6;;59.014,39;705;502,25;25320;18,65;0;0,00;NAO;0,00;0,00;0,00
541;20/04/1999;006;013;018;021;080;0,00;3;;85.845,08;509;505,96;16740;20,51;0;0,00;NAO;0,00;0,00;0,00
542;24/04/1999;025;033;040;054;071;0,00;3;;141.819,23;381;1.116,69;15659;36,23;0;0,00;NAO;0,00;0,00;0,00
543;27/04/1999;007;019;036;043;074;0,00;5;;49.642,17;424;585,40;15057;21,98;0;0,00;NAO;0,00;0,00;0,00
544;29/04/1999;009;040;047;048;053;0,00;0;;0,00;206;1.199,35;9802;33,61;0;0,00;SIM;247.065,23;247.065,23;0,00
545;01/05/1999;006;020;044;048;076;0,00;4;;143.683,81;338;969,44;13524;32,31;0;0,00;NAO;0,00;0,00;0,00
546;04/05/1999;001;032;045;052;072;0,00;0;;0,00;186;1.398,23;10009;34,65;0;0,00;SIM;260.071,28;260.071,28;0,00
547;06/05/1999;002;016;027;030;056;0,00;3;;199.046,12;431;782,06;17500;25,68;0;0,00;NAO;0,00;0,00;0,00
548;08/05/1999;014;020;046;049;080;0,00;1;;368.517,50;296;1.244,99;12687;38,73;0;0,00;NAO;0,00;0,00;0,00
549;11/05/1999;019;033;050;053;070;0,00;1;;266.394,87;195;1.366,13;9249;38,41;0;0,00;NAO;0,00;0,00;0,00
550;13/05/1999;012;028;051;053;067;0,00;5;;55.135,18;321;858,81;12020;30,58;0;0,00;NAO;0,00;0,00;0,00
551;15/05/1999;014;035;037;057;065;0,00;5;;71.612,89;542;660,64;18524;25,77;0;0,00;NAO;0,00;0,00;0,00
552;18/05/1999;008;015;016;044;056;0,00;3;;86.996,78;344;758,69;15242;22,83;0;0,00;NAO;0,00;0,00;0,00
553;20/05/1999;012;016;027;028;078;0,00;2;;132.629,41;336;789,46;13558;26,09;0;0,00;NAO;0,00;0,00;0,00
554;22/05/1999;004;009;020;035;080;0,00;9;;38.612,40;433;802,57;18917;24,50;0;0,00;NAO;0,00;0,00;0,00
555;25/05/1999;019;030;047;054;055;0,00;1;;249.186,52;165;1.510,22;10268;32,36;0;0,00;NAO;0,00;0,00;0,00
556;27/05/1999;015;046;055;059;069;0,00;3;;84.057,92;152;1.659,04;8127;41,37;0;0,00;NAO;0,00;0,00;0,00
557;29/05/1999;010;036;048;071;077;0,00;5;;67.932,37;317;1.071,49;14056;32,22;0;0,00;NAO;0,00;0,00;0,00
558;01/06/1999;027;045;046;061;075;0,00;1;;255.898,36;143;1.789,50;8727;39,10;0;0,00;NAO;0,00;0,00;0,00
559;05/06/1999;006;007;039;041;062;0,00;2;;201.591,77;370;1.089,69;15307;35,12;0;0,00;NAO;0,00;0,00;0,00
560;08/06/1999;017;022;039;058;075;0,00;4;;65.459,92;313;836,55;11133;31,36;0;0,00;NAO;0,00;0,00;0,00
561;10/06/1999;003;017;021;025;039;0,00;10;;26.893,98;694;387,52;19119;18,76;0;0,00;NAO;0,00;0,00;0,00
562;12/06/1999;015;030;043;056;058;0,00;5;;70.487,95;343;1.027,52;14947;31,44;0;0,00;NAO;0,00;0,00;0,00
563;15/06/1999;046;057;062;076;080;0,00;0;;0,00;159;1.630,41;7627;45,32;0;0,00;SIM;259.234,71;259.234,71;0,00
564;17/06/1999;007;031;042;046;056;0,00;0;;0,00;310;1.148,05;14438;32,75;0;0,00;SIM;615.128,88;615.128,88;0,00
565;19/06/1999;037;040;051;064;074;0,00;1;;1.128.330,55;326;1.574,24;15095;45,16;0;0,00;NAO;0,00;0,00;0,00
566;22/06/1999;007;021;023;029;052;0,00;4;;67.994,39;375;722,52;15739;22,96;0;0,00;NAO;0,00;0,00;0,00
567;24/06/1999;003;029;065;069;079;0,00;1;;256.769,50;222;1.156,62;9752;34,98;0;0,00;NAO;0,00;0,00;0,00
568;26/06/1999;013;015;048;049;080;0,00;4;;88.099,00;321;1.097,81;15458;30,29;0;0,00;NAO;0,00;0,00;0,00
569;29/06/1999;035;049;056;075;076;0,00;1;;250.426,93;235;1.065,65;9675;34,38;0;0,00;NAO;0,00;0,00;0,00
570;01/07/1999;003;020;040;057;060;0,00;1;;273.205,33;221;1.236,23;10397;34,91;0;0,00;NAO;0,00;0,00;0,00
571;03/07/1999;019;022;035;044;045;0,00;4;;91.733,76;487;753,76;21036;23,18;0;0,00;NAO;0,00;0,00;0,00
572;06/07/1999;001;005;014;024;025;0,00;8;;34.914,42;748;372,01;21064;17,62;0;0,00;NAO;0,00;0,00;0,00
573;08/07/1999;010;025;031;032;054;0,00;3;;99.940,64;375;799,52;14960;26,62;0;0,00;NAO;0,00;0,00;0,00
574;10/07/1999;012;019;044;068;075;0,00;4;;85.024,97;471;719,34;17170;26,31;0;0,00;NAO;0,00;0,00;0,00
575;13/07/1999;003;016;036;055;062;0,00;4;;69.341,67;353;785,74;13576;27,14;0;0,00;NAO;0,00;0,00;0,00
576;15/07/1999;018;028;045;052;059;0,00;1;;282.581,69;346;816,71;13416;27,99;0;0,00;NAO;0,00;0,00;0,00
577;17/07/1999;005;006;017;023;045;0,00;3;;119.740,90;912;392,40;29447;16,21;0;0,00;NAO;0,00;0,00;0,00
578;20/07/1999;007;011;034;047;074;0,00;5;;53.561,46;588;453,72;17450;20,40;0;0,00;NAO;0,00;0,00;0,00
579;22/07/1999;005;023;047;050;061;0,00;3;;90.289,41;280;967,39;11988;30,02;0;0,00;NAO;0,00;0,00;0,00
580;24/07/1999;004;017;018;027;056;0,00;1;;349.550,85;586;594,24;23212;20,01;0;0,00;NAO;0,00;0,00;0,00
581;27/07/1999;021;030;054;066;072;0,00;3;;84.734,03;163;1.559,52;7785;43,38;0;0,00;NAO;0,00;0,00;0,00
582;29/07/1999;011;016;023;032;059;0,00;2;;127.900,50;328;779,88;12788;26,57;0;0,00;NAO;0,00;0,00;0,00
583;31/07/1999;010;035;039;057;070;0,00;4;;85.955,81;272;1.264,06;13185;34,64;0;0,00;NAO;0,00;0,00;0,00
584;03/08/1999;009;018;020;053;070;0,00;3;;87.947,11;238;1.108,58;11212;31,27;0;0,00;NAO;0,00;0,00;0,00
585;05/08/1999;007;010;029;037;063;0,00;3;;92.272,36;411;670,97;15321;24,00;0;0,00;NAO;0,00;0,00;0,00
586;07/08/1999;012;019;022;031;042;0,00;3;;124.163,38;626;595,77;23103;21,42;0;0,00;NAO;0,00;0,00;0,00
587;10/08/1999;005;044;059;074;079;0,00;3;;90.966,82;228;1.196,93;9998;36,27;0;0,00;NAO;0,00;0,00;0,00
588;12/08/1999;006;033;049;074;075;0,00;2;;138.631,75;239;1.160,10;10002;36,82;0;0,00;NAO;0,00;0,00;0,00
589;14/08/1999;015;020;028;031;053;0,00;4;;92.562,20;407;909,70;16421;29,95;0;0,00;NAO;0,00;0,00;0,00
590;17/08/1999;018;022;030;047;052;0,00;3;;86.131,96;308;838,95;12045;28,51;0;0,00;NAO;0,00;0,00;0,00
591;19/08/1999;014;020;028;043;048;0,00;2;;133.394,10;349;764,44;13686;25,91;0;0,00;NAO;0,00;0,00;0,00
592;21/08/1999;010;017;034;051;063;0,00;6;;59.842,57;398;902,15;16111;29,61;0;0,00;NAO;0,00;0,00;0,00
593;24/08/1999;009;014;032;041;079;0,00;3;;84.347,27;280;903,72;11158;30,13;0;0,00;NAO;0,00;0,00;0,00
594;26/08/1999;008;014;033;037;073;0,00;4;;63.178,06;366;687,85;13666;24,57;0;0,00;NAO;0,00;0,00;0,00
595;28/08/1999;008;023;032;040;044;0,00;5;;69.388,73;452;767,58;17576;26,22;0;0,00;NAO;0,00;0,00;0,00
596;31/08/1999;003;017;029;061;075;0,00;4;;61.291,34;275;891,51;11021;29,55;0;0,00;NAO;0,00;0,00;0,00
597;02/09/1999;024;033;041;069;074;0,00;1;;260.207,32;189;1.376,76;8688;39,78;0;0,00;NAO;0,00;0,00;0,00
598;04/09/1999;013;018;039;065;071;0,00;3;;120.031,17;418;861,47;15749;30,38;0;0,00;NAO;0,00;0,00;0,00
599;09/09/1999;022;032;037;047;051;0,00;2;;155.664,36;192;1.621,51;10486;39,44;0;0,00;NAO;0,00;0,00;0,00
600;11/09/1999;016;034;041;051;054;0,00;1;;367.604,50;271;1.356,48;12084;40,41;0;0,00;NAO;0,00;0,00;0,00
601;14/09/1999;009;038;052;062;078;0,00;1;;261.557,06;205;1.275,89;9500;36,58;0;0,00;NAO;0,00;0,00;0,00
602;16/09/1999;001;022;033;042;052;0,00;3;;91.896,61;212;1.300,42;10292;35,59;0;0,00;NAO;0,00;0,00;0,00
603;18/09/1999;021;025;033;037;055;0,00;8;;46.940,49;645;580,00;20574;24,25;0;0,00;NAO;0,00;0,00;0,00
604;21/09/1999;007;023;046;063;067;0,00;3;;86.356,33;463;557,42;14054;24,49;0;0,00;NAO;0,00;0,00;0,00
605;23/09/1999;019;032;037;044;069;0,00;3;;89.731,95;381;703,87;13964;25,61;0;0,00;NAO;0,00;0,00;0,00
606;25/09/1999;002;023;040;043;066;0,00;0;;0,00;301;1.232,47;13652;36,10;0;0,00;SIM;370.974,76;370.974,76;0,00
607;28/09/1999;001;021;033;046;076;0,00;4;;185.095,76;280;1.319,32;13570;36,17;0;0,00;NAO;0,00;0,00;0,00
608;30/09/1999;012;032;038;064;079;0,00;2;;145.102,00;281;1.032,76;11627;33,16;0;0,00;NAO;0,00;0,00;0,00
609;02/10/1999;028;049;058;063;076;0,00;1;;366.691,44;354;1.035,85;12819;38,00;0;0,00;NAO;0,00;0,00;0,00
610;05/10/1999;025;049;070;076;078;0,00;1;;270.199,19;137;1.972,25;6961;51,57;0;0,00;NAO;0,00;0,00;0,00
611;07/10/1999;004;031;038;047;078;0,00;2;;152.498,32;217;1.405,51;10316;39,28;0;0,00;NAO;0,00;0,00;0,00
612;09/10/1999;022;023;026;045;063;0,00;4;;82.837,98;496;665,52;18965;23,21;0;0,00;NAO;0,00;0,00;0,00
613;14/10/1999;001;021;028;070;079;0,00;2;;172.158,45;203;1.696,15;9894;46,23;0;0,00;NAO;0,00;0,00;0,00
614;16/10/1999;016;022;042;051;057;0,00;1;;373.811,74;368;1.015,80;15547;31,94;0;0,00;NAO;0,00;0,00;0,00
615;19/10/1999;001;011;023;053;067;0,00;2;;132.645,38;300;884,30;12613;27,95;0;0,00;NAO;0,00;0,00;0,00
616;21/10/1999;007;017;040;058;073;0,00;1;;283.457,86;256;1.107,26;10667;35,30;0;0,00;NAO;0,00;0,00;0,00
617;23/10/1999;008;010;011;014;050;0,00;8;;43.462,65;835;414,83;25473;18,14;0;0,00;NAO;0,00;0,00;0,00
618;26/10/1999;035;049;054;064;068;0,00;3;;82.599,21;258;960,45;9865;33,37;0;0,00;NAO;0,00;0,00;0,00
619;28/10/1999;001;011;025;033;079;0,00;3;;86.066,10;347;741,27;14160;24,23;0;0,00;NAO;0,00;0,00;0,00
620;30/10/1999;010;017;018;024;040;0,00;6;;56.037,03;601;557,32;22376;19,97;0;0,00;NAO;0,00;0,00;0,00
621;04/11/1999;009;025;033;053;068;0,00;3;;100.933,30;463;651,51;16389;24,55;0;0,00;NAO;0,00;0,00;0,00
622;06/11/1999;001;017;034;040;046;0,00;3;;119.009,35;432;826,45;19901;23,83;0;0,00;NAO;0,00;0,00;0,00
623;09/11/1999;026;033;044;050;079;0,00;1;;252.845,89;161;1.570,48;8725;38,50;0;0,00;NAO;0,00;0,00;0,00
624;11/11/1999;044;045;046;049;067;0,00;2;;133.270,26;265;1.005,81;10841;32,67;0;0,00;NAO;0,00;0,00;0,00
625;13/11/1999;013;032;042;059;069;0,00;0;;0,00;236;1.459,60;13612;33,62;0;0,00;SIM;344.464,52;344.464,52;0,00
626;18/11/1999;007;033;038;058;076;0,00;6;;127.651,56;424;993,98;18409;30,41;0;0,00;NAO;0,00;0,00;0,00
627;20/11/1999;031;044;049;070;080;0,00;2;;185.506,26;190;1.952,70;9783;50,38;0;0,00;NAO;0,00;0,00;0,00
628;23/11/1999;046;052;056;060;065;0,00;0;;0,00;191;1.293,25;8377;39,18;0;0,00;SIM;247.011,96;247.011,96;0,00
629;25/11/1999;026;034;042;064;078;0,00;3;;188.620,31;414;770,17;13416;31,57;0;0,00;NAO;0,00;0,00;0,00
630;27/11/1999;007;045;056;059;061;0,00;0;;0,00;239;1.437,10;11444;39,87;0;0,00;SIM;343.466,44;343.466,44;0,00
631;30/11/1999;029;053;058;061;068;0,00;1;;670.199,47;189;1.728,75;9477;45,80;0;0,00;NAO;0,00;0,00;0,00
632;02/12/1999;017;020;021;042;048;0,00;6;;48.419,82;385;754,60;14089;27,39;0;0,00;NAO;0,00;0,00;0,00
633;04/12/1999;008;020;059;061;066;0,00;1;;367.028,90;219;1.675,93;9176;53,13;0;0,00;NAO;0,00;0,00;0,00
634;07/12/1999;034;050;060;071;073;0,00;2;;137.548,59;128;2.149,20;6515;56,09;0;0,00;NAO;0,00;0,00;0,00
635;09/12/1999;001;025;036;050;062;0,00;1;;275.206,45;190;1.448,46;9705;37,67;0;0,00;NAO;0,00;0,00;0,00
636;11/12/1999;011;032;040;043;057;0,00;0;;0,00;304;1.187,35;14153;33,88;0;0,00;SIM;360.954,16;360.954,16;0,00
637;14/12/1999;009;015;023;041;067;0,00;4;;178.893,19;495;713,69;17459;26,98;0;0,00;NAO;0,00;0,00;0,00
638;16/12/1999;007;049;051;064;069;0,00;1;;283.918,18;269;1.055,46;10510;35,89;0;0,00;NAO;0,00;0,00;0,00
639;18/12/1999;017;035;055;062;077;0,00;9;;39.711,25;508;700,88;17122;27,73;0;0,00;NAO;0,00;0,00;0,00
640;21/12/1999;005;014;039;057;072;0,00;3;;91.420,10;379;720,90;12744;28,60;0;0,00;NAO;0,00;0,00;0,00
641;23/12/1999;015;056;063;065;076;0,00;6;;51.061,13;334;917,26;12911;31,52;0;0,00;NAO;0,00;0,00;0,00
642;28/12/1999;010;020;036;058;060;0,00;2;;167.320,33;297;1.126,74;13423;33,12;0;0,00;NAO;0,00;0,00;0,00
643;30/12/1999;002;009;041;053;060;0,00;3;;112.011,98;260;1.292,45;12163;36,70;0;0,00;NAO;0,00;0,00;0,00
644;04/01/2000;012;027;028;034;049;0,00;2; - RJ;150.206,54;579;516,88;19293;20,69;0;0,00;NAO;0,00;0,00;0,00
645;06/01/2000;002;015;022;025;074;0,00;0;;0,00;317;849,26;13173;27,15;0;0,00;SIM;269.214,24;269.214,24;0,00
646;08/01/2000;003;008;036;044;063;0,00;10; - BA;66.120,73;830;470,49;24612;21,16;0;0,00;NAO;0,00;0,00;0,00
647;11/01/2000;019;043;052;059;074;0,00;1; - SP;260.495,48;253;1.029,63;10861;31,86;0;0,00;NAO;0,00;0,00;0,00
648;13/01/2000;024;031;039;060;072;0,00;1; - RJ;267.963,15;206;1.300,79;7775;45,78;0;0,00;NAO;0,00;0,00;0,00
649;15/01/2000;029;038;071;073;078;0,00;0;;0,00;195;1.676,30;9170;47,35;0;0,00;SIM;326.878,16;326.878,16;0,00
650;18/01/2000;011;023;033;052;070;0,00;2; - MG;327.948,96;323;1.018,64;13045;33,51;0;0,00;NAO;0,00;0,00;0,00
651;20/01/2000;023;027;040;072;073;0,00;0;;0,00;205;1.228,36;8140;41,10;0;0,00;SIM;251.815,14;251.815,14;0,00
652;22/01/2000;003;027;047;066;076;0,00;2; - RJ;314.878,26;330;1.145,27;15607;32,17;0;0,00;NAO;0,00;0,00;0,00
653;25/01/2000;007;008;010;045;046;0,00;1; - MG;228.309,67;377;603,30;13508;22,46;0;0,00;NAO;0,00;0,00;0,00
654;27/01/2000;003;013;048;055;068;0,00;2; - PR;125.305,32;326;768,74;13229;25,17;0;0,00;NAO;0,00;0,00;0,00
655;29/01/2000;011;021;031;040;041;0,00;9; - BA;36.112,39;1144;283,03;12584;34,31;0;0,00;NAO;0,00;0,00;0,00
656;01/02/2000;012;027;040;058;067;0,00;0;;0,00;177;1.391,79;9225;35,48;0;0,00;SIM;246.347,34;246.347,34;0,00
657;03/02/2000;041;062;070;079;080;0,00;3; - DF;188.857,98;200;1.601,14;8726;48,75;0;0,00;NAO;0,00;0,00;0,00
658;05/02/2000;003;025;044;060;069;0,00;0;;0,00;326;1.039,54;14465;31,13;0;0,00;SIM;338.888,81;338.888,81;0,00
659;08/02/2000;009;024;039;049;064;0,00;6; - AM;114.276,81;372;932,18;16084;28,65;0;0,00;NAO;0,00;0,00;0,00
660;10/02/2000;042;045;053;070;073;0,00;0;;0,00;162;1.699,09;8177;44,71;0;0,00;SIM;275.251,83;275.251,83;0,00
661;12/02/2000;012;029;033;062;074;0,00;2; - MG;338.991,56;396;1.017,00;15883;33,69;0;0,00;NAO;0,00;0,00;0,00
662;15/02/2000;007;019;022;040;073;0,00;2; - RJ;131.290,16;296;887,09;13034;26,76;0;0,00;NAO;0,00;0,00;0,00
663;17/02/2000;034;036;051;069;070;0,00;2; - SP;131.114,34;169;1.551,65;7479;46,58;0;0,00;NAO;0,00;0,00;0,00
664;19/02/2000;010;012;037;038;065;0,00;0;;0,00;363;946,61;15535;29,39;0;0,00;SIM;343.620,98;343.620,98;0,00
665;22/02/2000;008;028;070;077;078;0,00;5; - BA;136.200,63;232;1.454,23;10494;42,71;0;0,00;NAO;0,00;0,00;0,00
666;24/02/2000;015;016;027;050;064;0,00;1; - RS;258.336,90;173;1.493,28;9860;34,80;0;0,00;NAO;0,00;0,00;0,00
667;26/02/2000;034;044;055;060;063;0,00;2; - RJ;164.077,37;234;1.402,37;10924;39,90;0;0,00;NAO;0,00;0,00;0,00
668;29/02/2000;004;011;038;039;051;0,00;1; - RJ;249.407,93;222;1.123,46;9858;33,62;0;0,00;NAO;0,00;0,00;0,00
669;02/03/2000;002;016;031;055;061;0,00;0;;0,00;203;1.300,32;9343;37,53;0;0,00;SIM;263.966,18;263.966,18;0,00
670;04/03/2000;008;018;030;034;076;0,00;2; - MG;315.266,56;340;1.078,14;14319;34,02;0;0,00;NAO;0,00;0,00;0,00
671;09/03/2000;012;063;065;074;077;0,00;0;;0,00;172;1.444,77;7854;42,03;0;0,00;SIM;248.499,73;248.499,73;0,00
672;11/03/2000;010;049;053;057;062;0,00;0;;0,00;309;1.251,84;13176;39,00;0;0,00;SIM;635.318,70;635.318,70;0,00
673;14/03/2000;012;025;031;048;079;0,00;5; - PR;206.306,06;469;844,80;17082;30,82;0;0,00;NAO;0,00;0,00;0,00
674;16/03/2000;002;006;050;056;080;0,00;3; - MG;88.929,40;251;1.062,91;10560;33,57;0;0,00;NAO;0,00;0,00;0,00
675;18/03/2000;014;037;058;070;079;0,00;0;;0,00;225;1.497,88;10302;43,46;0;0,00;SIM;337.023,08;337.023,08;0,00
676;21/03/2000;017;019;048;050;066;0,00;2; - MG;341.771,95;362;957,24;14808;31,09;0;0,00;NAO;0,00;0,00;0,00
677;23/03/2000;004;009;020;031;038;0,00;3; - RJ;86.921,76;325;802,36;13095;26,46;0;0,00;NAO;0,00;0,00;0,00
678;25/03/2000;013;038;040;064;071;0,00;3;;109.309,04;270;1.214,55;11673;37,32;0;0,00;NAO;0,00;0,00;0,00
679;28/03/2000;026;033;048;058;077;0,00;3; - DF;79.939,88;222;1.080,27;9523;33,46;0;0,00;NAO;0,00;0,00;0,00
680;30/03/2000;035;036;050;063;071;0,00;2; - RJ;120.927,22;185;1.307,32;7645;42,02;0;0,00;NAO;0,00;0,00;0,00
681;01/04/2000;015;024;053;065;066;0,00;4; - DF;81.939,27;282;1.162,26;12578;34,62;0;0,00;NAO;0,00;0,00;0,00
682;04/04/2000;033;040;051;059;079;0,00;0;;0,00;162;1.523,34;7592;43,18;0;0,00;SIM;246.780,87;246.780,87;0,00
683;06/04/2000;024;025;035;037;070;0,00;2; - MG;292.757,76;239;1.417,30;11780;38,20;0;0,00;NAO;0,00;0,00;0,00
684;08/04/2000;009;044;053;073;076;0,00;4; - BA;87.475,82;315;1.110,81;13625;34,11;0;0,00;NAO;0,00;0,00;0,00
685;11/04/2000;004;030;046;052;071;0,00;4; - BA;64.848,87;200;1.296,98;8266;41,69;0;0,00;NAO;0,00;0,00;0,00
686;13/04/2000;018;046;049;061;076;0,00;2; - MT;133.612,78;176;1.518,33;8550;41,53;0;0,00;NAO;0,00;0,00;0,00
687;15/04/2000;033;058;064;069;078;0,00;3; - BA;113.122,21;310;1.094,73;12632;35,69;0;0,00;NAO;0,00;0,00;0,00
688;18/04/2000;006;016;037;052;071;0,00;6; - DF;42.296,54;191;1.328,69;8357;40,34;0;0,00;NAO;0,00;0,00;0,00
689;20/04/2000;001;013;017;025;073;0,00;8; - AM;34.704,06;544;508,42;20838;17,70;0;0,00;NAO;0,00;0,00;0,00
690;25/04/2000;013;026;033;039;056;0,00;5; - DF;64.603,90;658;489,05;20159;21,29;0;0,00;NAO;0,00;0,00;0,00
691;27/04/2000;041;044;047;063;069;0,00;0;;0,00;201;1.245,00;9559;34,78;0;0,00;SIM;250.243,82;250.243,82;0,00
692;29/04/2000;002;014;022;035;066;0,00;4; - PA;160.770,68;493;796,84;19223;27,15;0;0,00;NAO;0,00;0,00;0,00
693;04/05/2000;016;024;037;041;069;0,00;4; - DF;81.211,39;384;845,95;14516;29,73;0;0,00;NAO;0,00;0,00;0,00
694;06/05/2000;017;044;051;061;063;0,00;2; - RJ;172.810,43;261;1.324,22;12374;37,10;0;0,00;NAO;0,00;0,00;0,00
695;09/05/2000;013;024;029;038;043;0,00;4; - DF;65.372,70;415;627,71;15874;21,88;0;0,00;NAO;0,00;0,00;0,00
696;11/05/2000;028;043;063;065;069;0,00;1; - MG;266.798,14;240;1.111,66;10445;33,94;0;0,00;NAO;0,00;0,00;0,00
697;13/05/2000;019;028;031;053;066;0,00;3; - RJ;114.451,05;333;1.031,09;14215;32,08;0;0,00;NAO;0,00;0,00;0,00
698;16/05/2000;001;002;010;019;060;0,00;7; - AL;36.052,69;751;334,78;20146;16,65;0;0,00;NAO;0,00;0,00;0,00
699;18/05/2000;008;025;051;058;075;0,00;0;;0,00;274;923,03;10506;31,98;0;0,00;SIM;252.909,44;252.909,44;0,00
700;20/05/2000;002;025;036;042;059;0,00;3; - SP;211.302,74;433;879,90;17176;29,47;0;0,00;NAO;0,00;0,00;0,00
701;23/05/2000;021;057;065;079;080;0,00;0;;0,00;206;1.165,22;8161;39,08;0;0,00;SIM;240.035,32;240.035,32;0,00
